0,1,2,3,4,5
PWGTP,SOCP,SCHL_RC1,SCHL,PUMA,STATE
47,N,3,19,23304,53
74,537062,3,19,23304,53
54,N,4,21,23304,53
18,N,4,21,23304,53
47,N,3,19,23304,53
46,436014,3,18,23304,53
10,N,4,21,23304,53
17,N,2,16,23304,53
9,N,1,10,23304,53
34,N,2,16,23304,53
12,N,4,21,23304,53
103,N,4,21,23304,53
40,399032,3,19,23304,53
49,N,2,16,23304,53
16,N,4,21,23304,53
10,N,4,21,23304,53
12,339030,3,19,23304,53
97,N,4,21,23304,53
75,N,2,16,23304,53
18,311122,4,21,23304,53
99,N,4,21,23304,53
8,N,4,21,23304,53
21,N,4,21,23304,53
21,311122,4,21,23304,53
12,N,4,21,23304,53
100,412031,5,22,23304,53
7,N,4,21,23304,53
80,311122,4,21,23304,53
39,399011,3,19,23304,53
10,N,4,21,23304,53
57,N,4,21,23304,53
14,412031,5,22,23304,53
47,537061,3,19,23304,53
31,436011,4,21,23304,53
36,151252,4,21,23304,53
108,N,3,19,23304,53
112,1191XX,4,21,23304,53
125,N,1,2,23304,53
102,399011,4,21,23304,53
112,N,4,21,23304,53
41,1191XX,5,22,23304,53
34,132011,4,21,23304,53
40,N,5,24,23304,53
34,N,4,21,23304,53
69,113051,5,22,23304,53
59,151252,4,21,23304,53
313,259040,4,21,23304,53
398,472111,3,18,23304,53
326,259040,4,21,23304,53
371,131082,4,21,23304,53
74,151252,5,22,23304,53
74,131023,4,21,23304,53
67,N,1,8,23304,53
58,N,1,6,23304,53
88,291051,5,22,23304,53
33,132011,4,21,23304,53
48,119021,4,21,23304,53
74,111021,5,22,23304,53
58,N,4,21,23304,53
69,119051,4,21,23304,53
75,537064,1,13,23304,53
61,516031,2,17,23304,53
71,434171,3,19,23304,53
71,373011,4,20,23304,53
56,519061,4,20,23304,53
108,395094,4,21,23304,53
123,434051,4,21,23304,53
32,518021,4,21,23304,53
32,113031,3,19,23304,53
61,N,3,18,23304,53
83,252010,3,18,23304,53
87,252010,2,16,23304,53
118,251000,5,22,23304,53
98,N,4,20,23304,53
48,N,1,14,23304,53
109,172051,4,21,23304,53
67,113021,4,21,23304,53
161,339030,2,17,23304,53
208,472152,2,16,23304,53
187,N,1,6,23304,53
187,531000,2,16,23304,53
81,151252,5,22,23304,53
84,151252,5,22,23304,53
121,371012,4,20,23304,53
374,151252,5,22,23304,53
368,151252,5,22,23304,53
261,N,1,12,23304,53
331,N,1,7,23304,53
76,151252,4,21,23304,53
64,N,5,22,23304,53
70,1110XX,5,22,23304,53
56,1110XX,3,18,23304,53
51,119051,4,20,23304,53
55,412010,1,14,23304,53
45,N,1,11,23304,53
84,N,4,21,23304,53
9,1110XX,5,22,23304,53
8,1191XX,4,21,23304,53
129,171011,4,21,23304,53
91,131161,4,21,23304,53
97,N,1,13,23304,53
89,N,1,10,23304,53
66,1520XX,5,22,23304,53
66,131070,5,22,23304,53
51,N,1,2,23304,53
72,413091,5,22,23304,53
83,N,4,20,23304,53
70,N,1,1,23304,53
173,533054,3,19,23304,53
143,112021,3,19,23304,53
112,151252,4,21,23304,53
89,1191XX,4,21,23304,53
123,N,1,10,23304,53
94,N,5,22,23304,53
90,N,5,22,23304,53
83,151252,4,21,23304,53
65,1110XX,4,21,23304,53
66,211093,5,22,23304,53
57,N,1,10,23304,53
55,N,1,8,23304,53
36,532010,5,22,23304,53
35,532010,4,21,23304,53
62,352010,4,20,23304,53
37,399011,1,14,23304,53
40,N,1,9,23304,53
32,N,4,21,23304,53
121,119041,5,22,23304,53
91,N,4,21,23304,53
70,151252,5,22,23304,53
48,251000,5,24,23304,53
34,291210,5,23,23304,53
58,1191XX,4,21,23304,53
74,151252,5,22,23304,53
64,N,1,9,23304,53
137,1721YY,4,21,23304,53
126,17301X,4,21,23304,53
146,1520XX,4,21,23304,53
144,151252,5,23,23304,53
127,252030,4,21,23304,53
133,432011,2,16,23304,53
133,193033,4,21,23304,53
137,N,1,10,23304,53
136,N,1,9,23304,53
221,132070,4,21,23304,53
285,2310XX,5,24,23304,53
234,292053,4,21,23304,53
280,N,3,19,23304,53
88,132051,5,22,23304,53
86,291141,4,21,23304,53
68,N,1,6,23304,53
68,N,1,2,23304,53
91,N,2,16,23304,53
102,1191XX,4,21,23304,53
95,273041,5,22,23304,53
210,413091,2,16,23304,53
133,259040,4,20,23304,53
114,N,4,21,23304,53
119,N,1,5,23304,53
77,151252,5,22,23304,53
74,113121,5,22,23304,53
66,N,1,1,23304,53
66,N,1,0,23304,53
67,431011,5,24,23304,53
82,N,5,22,23304,53
60,412031,3,19,23304,53
58,436014,3,19,23304,53
68,419099,5,22,23304,53
71,151252,5,22,23304,53
234,533030,2,16,23304,53
221,37301X,2,16,23304,53
42,1520XX,5,22,23304,53
42,252010,1,15,23304,53
37,N,1,1,23304,53
46,N,1,0,23304,53
91,N,2,16,23304,53
43,151252,5,22,23304,53
37,151252,5,24,23304,53
61,431011,5,22,23304,53
52,291141,4,21,23304,53
62,N,1,12,23304,53
220,411011,5,22,23304,53
255,132011,4,21,23304,53
74,N,5,22,23304,53
77,151252,5,22,23304,53
57,119021,5,23,23304,53
65,271024,4,21,23304,53
50,N,1,13,23304,53
63,N,1,10,23304,53
64,191020,5,24,23304,53
60,N,5,24,23304,53
52,519010,5,22,23304,53
122,151252,5,22,23304,53
109,N,4,21,23304,53
63,N,4,20,23304,53
54,272012,5,22,23304,53
109,N,4,21,23304,53
96,151252,4,21,23304,53
95,N,1,14,23304,53
99,N,1,10,23304,53
126,N,5,24,23304,53
63,N,5,22,23304,53
61,N,4,21,23304,53
69,1191XX,5,22,23304,53
70,412010,4,21,23304,53
62,N,1,4,23304,53
60,N,2,16,23304,53
55,434051,4,21,23304,53
72,1191XX,5,23,23304,53
76,537051,3,18,23304,53
57,N,3,19,23304,53
23,2310XX,5,23,23304,53
32,N,5,22,23304,53
54,N,4,21,23304,53
61,113071,3,19,23304,53
62,N,1,15,23304,53
128,291141,4,21,23304,53
113,151252,4,21,23304,53
111,N,1,0,23304,53
74,131111,4,21,23304,53
74,132011,4,21,23304,53
181,119051,4,21,23304,53
161,N,1,12,23304,53
314,533030,4,21,23304,53
79,172051,5,24,23304,53
80,291210,5,23,23304,53
93,131081,4,21,23304,53
82,518021,2,16,23304,53
101,N,1,0,23304,53
100,N,5,24,23304,53
81,399011,4,21,23304,53
89,151252,4,21,23304,53
80,411011,5,22,23304,53
11,112021,4,21,23304,53
13,N,4,21,23304,53
64,413091,4,21,23304,53
67,232011,4,21,23304,53
72,33909X,4,21,23304,53
73,1910XX,5,24,23304,53
82,N,5,22,23304,53
30,N,5,22,23304,53
33,N,4,21,23304,53
92,151252,5,22,23304,53
97,131070,4,21,23304,53
100,273042,5,22,23304,53
237,252020,4,21,23304,53
249,151252,5,22,23304,53
189,N,1,5,23304,53
216,N,1,5,23304,53
127,151252,5,22,23304,53
122,151252,5,22,23304,53
122,192099,5,24,23304,53
126,151211,5,22,23304,53
111,132051,4,21,23304,53
85,537062,5,22,23304,53
58,N,2,16,23304,53
80,291141,4,21,23304,53
69,291141,4,21,23304,53
64,N,1,14,23304,53
71,151212,4,21,23304,53
75,119041,5,24,23304,53
72,N,5,22,23304,53
62,272022,1,13,23304,53
79,N,1,5,23304,53
33,N,2,17,23304,53
28,N,1,14,23304,53
27,N,1,9,23304,53
85,151252,5,22,23304,53
84,N,4,20,23304,53
66,N,1,6,23304,53
66,N,1,3,23304,53
96,N,1,1,23304,53
77,N,4,20,23304,53
69,411011,4,21,23304,53
55,211012,5,22,23304,53
74,N,1,7,23304,53
62,N,1,5,23304,53
333,151252,5,22,23304,53
386,151252,5,22,23304,53
63,412010,5,23,23304,53
70,1110XX,4,21,23304,53
74,112022,5,22,23304,53
127,537065,3,19,23304,53
76,392021,1,14,23304,53
81,N,1,11,23304,53
74,212011,4,21,23304,53
71,111021,4,21,23304,53
68,291141,4,21,23304,53
85,399011,4,21,23304,53
88,N,1,0,23304,53
73,319094,4,21,23304,53
111,231012,4,21,23304,53
308,433031,3,18,23304,53
332,131051,3,18,23304,53
100,N,4,21,23304,53
123,151252,5,22,23304,53
122,131111,5,22,23304,53
141,N,1,1,23304,53
141,N,1,0,23304,53
128,151252,5,22,23304,53
72,131082,4,21,23304,53
99,413091,3,19,23304,53
124,353023,3,19,23304,53
33,N,2,16,23304,53
66,414010,4,21,23304,53
52,2310XX,5,23,23304,53
61,N,1,7,23304,53
61,N,1,5,23304,53
80,N,1,1,23304,53
102,119021,4,21,23304,53
67,29112X,5,22,23304,53
63,413021,4,21,23304,53
64,N,2,16,23304,53
59,N,3,19,23304,53
61,151252,5,22,23304,53
48,N,4,21,23304,53
67,N,1,8,23304,53
55,N,1,6,23304,53
56,N,2,16,23304,53
67,151252,5,22,23304,53
56,N,5,22,23304,53
52,N,3,19,23304,53
35,N,5,22,23304,53
49,N,5,24,23304,53
60,N,4,20,23304,53
58,N,3,18,23304,53
48,311131,1,15,23304,53
39,N,2,16,23304,53
45,N,1,13,23304,53
56,352021,2,16,23304,53
68,132011,4,21,23304,53
51,N,5,22,23304,53
69,434051,4,21,23304,53
68,N,4,21,23304,53
57,N,1,0,23304,53
125,291210,5,23,23304,53
172,N,1,0,23304,53
108,131161,5,24,23304,53
100,1110XX,5,24,23304,53
88,192099,4,21,23304,53
87,353031,2,16,23304,53
88,151211,4,21,23304,53
71,273043,2,16,23304,53
42,151252,4,21,23304,53
45,N,1,14,23304,53
66,151252,4,21,23304,53
