SOCP,SCHL_RC1,SCHL,ED_LEVEL,AREA,OCC_CODE,OCC_TITLE,A_MEAN
151252,4,21,Graduated College,42660.0,151252,Software Developers,164130.0
151252,4,21,Graduated College,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,4,21,Graduated College,42660.0,151252,Software Developers,164130.0
151252,4,21,Graduated College,42660.0,151252,Software Developers,164130.0
151252,4,21,Graduated College,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,5,23,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,5,24,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,4,21,Graduated College,42660.0,151252,Software Developers,164130.0
151252,4,21,Graduated College,42660.0,151252,Software Developers,164130.0
151252,4,21,Graduated College,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151211,5,22,Completed Advanced Degree,42660.0,151211,Computer Systems Analysts,138410.0
151212,4,21,Graduated College,42660.0,151212,Information Security Analysts,154600.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151211,4,21,Graduated College,42660.0,151211,Computer Systems Analysts,138410.0
151252,4,21,Graduated College,42660.0,151252,Software Developers,164130.0
151252,4,21,Graduated College,42660.0,151252,Software Developers,164130.0
151252,5,24,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,4,21,Graduated College,42660.0,151252,Software Developers,164130.0
151212,4,20,Graduated College,42660.0,151212,Information Security Analysts,154600.0
151252,4,21,Graduated College,42660.0,151252,Software Developers,164130.0
151252,5,24,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,4,21,Graduated College,42660.0,151252,Software Developers,164130.0
151252,4,21,Graduated College,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,4,21,Graduated College,42660.0,151252,Software Developers,164130.0
151251,2,16,High school diploma,42660.0,151251,Computer Programmers,167190.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,4,21,Graduated College,42660.0,151252,Software Developers,164130.0
151221,5,24,Completed Advanced Degree,42660.0,151221,Computer and Information Research Scientists,211410.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,4,21,Graduated College,42660.0,151252,Software Developers,164130.0
151252,5,24,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151251,4,21,Graduated College,42660.0,151251,Computer Programmers,167190.0
151252,3,19,Completed Some College,42660.0,151252,Software Developers,164130.0
151251,4,21,Graduated College,42660.0,151251,Computer Programmers,167190.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,4,21,Graduated College,42660.0,151252,Software Developers,164130.0
151252,4,21,Graduated College,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,4,21,Graduated College,42660.0,151252,Software Developers,164130.0
151252,5,22,Completed Advanced Degree,42660.0,151252,Software Developers,164130.0
151252,4,21,Graduated College,42660.0,151252,Software Developers,164130.0
